# Episode 1
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 2
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 3
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 4
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 5
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 6
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 7
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 8
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 9
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 10
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 11
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 12
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 13
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 14
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 15
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 16
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 17
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 18
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 19
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
# Episode 20
[1,1], [2,1], [3,2], [4,2], [5,2], [6,3], [7,4], [7,5], [7,6], [7,7], [8,7], [9,7], [10,8], [11,9], [12,10], [12,11], [12,12], [13,12], [14,12], [15,13], [16,14], [17,15], [18,16], [19,17], [20,17], [21,17], [22,18], [23,19], [24,20], [25,21], [26,22], [27,23], [28,24], [29,25], [30,26], [30,27], [30,28], [30,29], [1,1], 
